Key,Korean (KO),English (EN)
"nav.guide","가이드","Guide"
"nav.gateio","Gate.io","Gate.io"
"nav.futures","코인 모의투자","USDT Futures"
"nav.cryptoData","코인 데이터","Crypto Data"
"nav.community","커뮤니티","Community"
"nav.ranking","랭킹","Ranking"
"nav.market","마켓","Market"
"nav.bugscoinDoc","벅스코인 문서","BUGSCOIN DOC"
"guide.whatIsAnttalk","개미톡이란?","What is ANTTALK?"
"guide.demoTradingGuide","모의투자 참여방법","Demo Trading Guide"
"guide.miningGuide","벅스코인 채굴방법","Mining Guide"
"guide.swapGuide","벅스코인 스왑방법","Swap Guide"
"crypto.bitcoin","비트코인","Bitcoin"
"crypto.ethereum","이더리움","Ethereum"
"data.analyze","분석","Analyze"
"data.news","뉴스","News"
"community.best","인기글","Best"
"community.freeBoard","자유게시판","Free Board"
"community.analysisBoard","분석게시판","Analysis Board"
"community.notice","공지사항","Notice"
"community.helpDesk","고객센터","Help desk"
"ranking.top100","탑 100","Top 100"
"ranking.hallOfFame","명예의 전당","Hall of Fame"
"auth.login","로그인","Sign up"
"auth.logout","로그아웃","Sign out"
"footer.privacyPolicy","개인보호정책","Privacy Policy"
"footer.termsOfUse","이용약관","Terms of Use"
"footer.youthProtectionPolicy","청소년보호정책","Youth protection policy"
"footer.operatingPolicy","운영정책","Operating policy"
"footer.companyName","회사명","Company name"
"footer.companyNameValue","주식회사 개미톡","Gamitok Co., Ltd."
"footer.representative","대표","representative"
"footer.representativeName","조인범","Inbeom Jo"
"footer.registrationNumber","등록번호","Registration number"
"footer.customerService","고객센터","customer service center"
"footer.businessReportNumber","통신판매업 신고번호","Mail order business report number"
"footer.businessReportValue","제 2024-별내-0276 호","No. 2024-Byeolnae-0276"
"footer.address","주소","address"
"footer.addressValue","경기도 남양주시 별내중앙로 26, 10층 1002-제이65호(별내동)","#1002-J65, 10th floor, 26 Byeolnaejungang-ro, Namyangju-si, Gyeonggi-do (Byeolnae-dong)"
"main.notice","공지사항","Notice"
"main.bbs","유저 게시물","BBS"
"main.futuresStatus","BGSC 선물 전광판","BGSC Futures status"
"main.currentPrice","코인 선물 전광판","Current Price"
"main.name","종목명","Name"
"main.price","현재가","Current Price"
"main.markPrice","표시가","Mark Price"
"main.change","대비","Change"
"main.changePercent","등락률","Change Percent"
"main.high","고가","High"
"main.low","저가","Low"
"main.volume","거래량","Volume"
"main.profitRanking","순손익 랭킹","Profit Ranking"
"main.bugsRanking","벅스 랭킹","BUGS Ranking"
"main.rank","순위","Rank"
"main.username","회원","Username"
"main.country","국가","Country"
"main.profit","순손익","Profit (KRW)"
"main.bugs","벅스","BUGS"
"main.humanIndicator","인간 지표","Human Indicator"
"main.humanIndicatorDesc","개미톡 코인 모의투자에서 회원들의 롱/숏 포지션에 대한 지표을 표시합니다. (회원수)","Displays the ratio of simulated investments within ANTTALK intuitively. (number of users)"
"main.fearGreedIndex","공포 / 탐욕 지수","Fear & Greed Index"
"main.longShortRatio","전체 롱/숏 비율","Total Long/Short Ratio"
"main.longShortRatioDesc","전체 거래소의 코인선물 롱/숏 비율을 표시합니다. (4시간 기준)","Displays coin futures long/short ratios for all exchanges. (4hours)"
"main.cryptoNews","코인 뉴스","Crypto News"
"trading.usdtFutures","USDT 선물","USDT Futures"
"trading.limit","리밋","Limit"
"trading.market","시장가","Market"
"trading.price","가격","Price"
"trading.currentPriceAtPurchase","구매시 현재가","Current price at purchase"
"trading.last","최신","Last"
"trading.qty","수량","Qty"
"trading.buyPrice","매수가","Buy Price"
"trading.sellPrice","매도가","Sell Price"
"trading.buySize","매수량","Buy Size"
"trading.sellSize","매도량","Sell Size"
