Key,Korean (KO),English (EN)
"demoGuide.leverage","레버리지 투자","Leverage Investment"
"demoGuide.leverageDesc","현재 자금의 배수를 통해 거래할 수 있습니다. 최대 x50까지 가능하며, 아이템을 사용하면 x100도 가능합니다.","You can trade with a multiple of your current funds through leverage. It is possible up to x50, and if you use an item, it is also possible to use x100."
"demoGuide.recharge","재충전","Recharge"
"demoGuide.rechargeDesc","하루에 한 번 100,000 USDT를 재충전할 수 있습니다. 아이템을 사용하면 하루에 여러 번 재충전도 가능합니다.","You can recharge 100,000 USDT once a day. If you use an item, you can also recharge multiple times a day."
"demoGuide.tradeableItems","거래 가능 종목","Tradeable Items"
"demoGuide.tradeableItemsDesc","BTC(비트코인)과 ETH(이더리움)을 거래할 수 있으며, 앞으로 더 많은 코인에 대한 모의 거래를 지원할 예정입니다.","There are BTC(Bitcoin) and ETH(Ethrium), and we plan to support Demo Trading for more coins in the future."
"miningGuide.basicMining","기본 채굴 방법","Basic Mining Method"
"miningGuide.miningExample","관리자님이 비트코인 매도 포지션 +30,907,314원을 청산하여 +15 벅스를 획득 하였습니다.","ADMIN liquidated Bitcoin short position of '; +30,907,314 KRW, Acquire +15 BUGS"
"miningGuide.miningReward","모의 거래에서 포지션을 종료하고 +10,000 USDT의 이익을 얻으면 5 5 벅스를 보상으로 받을 수 있습니다.","When you close a position in Demo Trading and earn a profit of +10,000 USDT, you can receive 5 BUGS as a reward."
"miningGuide.paymentNote","* 해당 지급은 추후 변경될 수 있습니다.","* The payment amount can be changed later"
"miningGuide.holderBenefits","벅스코인 홀더 혜택","BUGSCOIN Holder Benefits"
"miningGuide.holderBenefitsDesc","벅스코인 홀더는 BUGSTALK에서 보유한 BUGSCOIN 수에 따라 더 높은 등급과 모의 거래 채굴 혜택을 받습니다.","BUGSCoin holders benefit from higher ranks and Demo Trading mining due to the number of BUGS they hold in ANTTALK."
"miningGuide.tier1Reward","1 ~ 10 : 매 채굴 성공 시, 3BUGS 추가 채굴","1 ~ 10 : every mining success, 3BUGS additional mining"
"miningGuide.tier2Reward","11 ~ 20 : 매 채굴 성공 시, 4BUGS 추가 채굴","11 ~ 20 : every mining success, 4BUGS additional mining"
"miningGuide.tier3Reward","21 ~ 30 : 매 채굴 성공 시, 5BUGS 추가 채굴","21 ~ 30 : every mining success, 5BUGS additional mining"
"miningGuide.tier4Reward","31 ~ 40 : 매 채굴 성공 시, 6BUGS 추가 채굴","31 ~ 40 : every mining success, 6BUGS additional mining"
"miningGuide.tier5Reward","41 ~ 50 : 매 채굴 성공 시, 7BUGS 추가 채굴","41 ~ 50 : every mining success, 7BUGS additional mining"
"miningGuide.tier6Reward","51 ~ 60 : 매 채굴 성공 시, 8BUGS 추가 채굴","51 ~ 60 : every mining success, 8BUGS additional mining"
"miningGuide.tier7Reward","61 ~ 70 : 매 채굴 성공 시, 9BUGS 추가 채굴","61 ~ 70 : every mining success, 9BUGS additional mining"
"miningGuide.tier8Reward","71 ~ 80 : 매 채굴 성공 시, 10BUGS 추가 채굴","71 ~ 80 : every mining success, 10BUGS additional mining"
"miningGuide.tier9Reward","81 ~ 90 : 매 채굴 성공 시, 11BUGS 추가 채굴","81 ~ 90 : every mining success, 11BUGS additional mining"
"miningGuide.tier10Reward","91 ~ 99 : 매 채굴 성공 시, 12BUGS 추가 채굴","91 ~ 99 : every mining success, 12BUGS additional mining"
"miningGuide.levelUpdate","회원 레벨에 따라 채굴 보상이 다르게 분배되도록 업데이트할 계획입니다.","* We plan to update the mining rewards to be distributed differently based on user levels*"
"swapGuide.swapMethod","벅스코인 스왑 신청 방법","How to Apply for BGSC Swap"
"swapGuide.swapMethodDesc","모의 거래를 통해 얻은 벅스코인을 마이페이지의 지갑 탭에서 거래소로 스왑할 수 있습니다.","You can swap the BGSC obtained through Demo Trading to an exchange from the Wallet tab in your Mypage."
"swapGuide.swapSchedule","스왑은 주 1회 열립니다.","Swap is open once a week."
"swapGuide.swapRatio","스왑 비율은 주간 채굴량에 따라 달라집니다.","The swap ratio varies depending on the amount mined during the week."
"swapGuide.swapWallet","개미톡에서 제공하는 거래소 추천 링크를 통해 가입한 지갑으로만 스왑할 수 있습니다.","You can only swap to the wallet you joined through the exchange referral link provided by ANTTALK."
"swapGuide.swapWarning","스왑 주의사항","Swap Warning"
"swapGuide.swapCheckItems","스왑 신청 시 다음 사항을 확인하세요:","When applying for a swap, please check the following:"
"swapGuide.checkAddress","올바른 지갑 주소를 입력했는지 확인하세요","Check if you have entered the correct wallet address"
"swapGuide.checkReferral","ANTTALK 추천 링크를 통해 가입한 거래소의 BGSC 지갑 주소인지 확인하세요","Check if the BGSC wallet address is from the exchange you joined through the ANTTALK referral link"
"swapGuide.noCancellation","스왑 신청 후 취소가 불가능하므로 주의하세요","Please be careful when applying for a swap as it cannot be canceled after application" 
